Title,Title_CKIP,Category
高捷赤字bye　去年日均運量首破17萬,高捷　赤字　bye　去年日　均　運量　首破　17萬,t
高鐵延伸屏東交通部將做可行性評估,高鐵　延伸　屏東　交通部　將　做　可行性　評估,o
高鐵大學生返校5折優惠列車 　半夜開搶,高鐵　大學生　返校　5　折　優惠　列車　半夜　開　搶,e
高鐵南延屏東無期　潘孟安轟賀陳旦：冰冷倨傲,高鐵　南延　屏東　無期　潘孟安轟　賀陳旦　：　冰冷　倨傲,o
高鐵南延屏東案　高鐵局：去年已完成初步工程評估,高鐵　南延　屏東案　高鐵局　：　去年　已　完成　初步　工程　評估,o
高鐵若南延屏東　恐花900億元卻只快9分鐘,高鐵　若　南延　屏東　恐　花　900億　元　卻　只　快　9　分鐘,o
高鐵南延屏東　高鐵公司這樣回應,高鐵　南延　屏東　高鐵　公司　這樣　回應,o
首度盈餘！高捷去年賺7400萬　暫不全面調薪,首度　盈餘　！　高捷　去年　賺　7400萬　暫不　全面　調薪,o
桃捷徵才逾萬人報考錄取率僅2%,桃捷　徵才　逾　萬　人　報考　錄取率　僅　2%,o
擠破頭！13博士、千名碩士報考機捷　但只有210個缺,擠破　頭　！　13　博士　、　千　名　碩士　報考　機捷　但　只　有　210　個　缺,o
出家人捷運霸位？　正義魔人被接力打臉,出家人　捷運　霸　位　？　正義　魔人　被　接力　打臉,o
高鐵周一晨間3班北上列車自由座車廂空　可多搭乘,高鐵　周一　晨間　3　班　北上　列車　自由　座車廂　空　可　多　搭乘,t
二二八連假高鐵加班車28日凌晨賣,二二八　連假　高鐵　加班車　28日　凌晨　賣,e
買不到高鐵早鳥票　民眾質疑有人掃票,買不到　高鐵　早　鳥票　民眾　質疑　有　人　掃票,e
疏運228連假人潮　高鐵加開142班次列車,疏運　228　連假　人潮　高鐵　加開　142　班次　列車,t
左營高鐵站無障礙健檢　電梯不友善,左營　高鐵　站無　障礙　健檢　電梯　不　友善,s
北捷環狀線爆棄土弊案　捷運局：配合調查,北捷　環狀　線　爆　棄土　弊案　捷運局　：　配合　調查,o
高鐵春節疏運啟動9天1576班,高鐵　春節　疏運　啟動　9　天　1576　班,t
機場捷運將通車　各站票價看這裡,機場捷運　將　通車　各　站　票價　看　這裡,e
高鐵湧現返鄉人潮　今明加開4班全車自由座列車,高鐵　湧現　返鄉　人潮　今明　加開　4　班　全　車　自由座　列車,t
視察松機遇旅客要離島海底高鐵　林全這樣神回,視察　松　機遇　旅客　要　離島　海底　高鐵　林全　這樣　神　回,o
到雙北各大廟宇拜拜免迷路　搭捷運就搞定,到　雙北　各　大　廟宇　拜拜　免　迷路　搭　捷運　就　搞定,o
高鐵昨道岔異常　兩班南下列車各延誤10餘分鐘,高鐵　昨　道岔　異常　兩　班　南下　列車　各　延誤　10餘　分鐘,t
高鐵春節疏運人次創新高　迄昨逾127萬人次,高鐵　春節　疏運　人次　創新高　迄　昨　逾　127萬　人次,t
【試試片】試乘機場捷運到桃機　總統蔡英文關心春節疏運,【　試試片　】　試　乘　機場捷運　到　桃機　總統　蔡英文　關心　春節　疏運,o
「等待20年實在太久」　蔡英文盼機捷讓等待值得,「　等待　20　年　實在　太　久　」　蔡　英文　盼　機捷　讓　等待　值得,o
老闆要員工加班理由超瞎　捷運延後收班都能掰,老闆　要　員工　加班　理由　超瞎　捷運　延後　收　班　都　能　掰,o
初四收假前一天　高鐵加開2班次疏運旅客,初四　收假　前　一　天　高鐵　加開　2　班次　疏運　旅客,t
初三逾25萬人搭高鐵　旅客人數創新高,初三　逾　25萬　人　搭　高鐵　旅客　人數　創新高,t
機場捷運即將試乘　鄭文燦：打造新門面，帶領台灣進步,機場捷運　即將　試　乘　鄭　文　燦　：　打造　新　門面　，　帶領　台灣　進步,o
機場捷運將上路　民眾：多些直達車要準點,機場捷運　將　上路　民眾　：　多　些　直達車　要　準　點,o
機場捷運開通　民眾這麼說……,機場捷運　開通　民眾　這麼　說　……,o
高鐵疏運北返旅客午後加開2班車,高鐵　疏運　北　返　旅客　午後　加開　2　班車,t
公車難等又塞國道　機捷能解林口人的苦,公車　難　等　又　塞　國道　機捷　能　解　林口人　的　苦,o
機場捷運團體試營運免費試乘,機場捷運　團體　試營運　免費　試　乘,e
台灣燈會高鐵加開38班車9成自由座,台灣　燈會　高鐵　加開　38　班車　9成　自由座,t
【有片】機場捷運試乘首發列車　鄭文燦率團搭乘,【　有片　】　機場捷運　試　乘　首發　列車　鄭文燦　率團　搭乘,o
【必看動畫】機捷今天試營運　想嘗鮮的快看試乘撇步,【　必　看　動畫　】　機捷　今天　試營運　想　嘗鮮　的　快　看　試　乘　撇步,o
感謝機捷員工家屬支持　喜邀親友體驗試營運,感謝　機捷　員工　家屬　支持　喜　邀　親友　體驗　試營運,o
台灣燈會在雲林　高鐵加開全車自由座列車,台灣　燈會　在　雲林　高鐵　加開　全　車　自由座　列車,t
機捷試乘首發團　民眾：不輸北、高捷運,機捷試　乘　首發　團　民眾　：　不　輸　北　、　高　捷運,o
【撇步片】機捷機場站到登機口方便嗎？　《蘋果》帶你實測,【　撇步片　】　機捷　機場　站到　登機口　方便　嗎　？　《　蘋果　》　帶　你　實　測,o
機場捷運首日試乘　鄭文燦自評：85分以上,機場捷運　首日　試　乘　鄭　文　燦　自　評　：　85　分　以上,o
搭高鐵賞台灣燈會4日開放購票,搭　高鐵　賞　台灣　燈會　4日　開放　購票,e
身障者搭高鐵　陪同者卻買不到票,身障者搭　高鐵　陪同　者　卻　買不到　票,e
麥擱傳啦！　60歲搭高鐵無7.5折熟年優惠,麥擱　傳　啦　！　60　歲　搭　高鐵　無　7.5　折　熟年　優惠,e
等了20年機捷終於通了　最快1年向廠商求償38.4億元,等　了　20　年　機捷　終於　通　了　最　快　1　年　向　廠商　求償　38.4　億　元,o
寒假準備收假    高鐵推大學生開學返校5折列車,寒假　準備　收假　高鐵　推　大學生　開學　返校　5　折　列車,e
高鐵邀賞蘭展車票8折優惠套票,高鐵　邀賞蘭展　車票　8　折　優惠　套票,e
高鐵祭210張免費票　邀民眾到南港站搭車,高鐵　祭　210　張　免費票　邀　民眾　到　南港　站　搭　車,e
想到雲林看台灣燈會　部落客教你搭高鐵,想到　雲林　看　台灣　燈會　部落客　教　你　搭　高鐵,o
捷運萬大線北市段全面啟動　今辦動土祈福典禮,捷運　萬大　線　北市　段　全面　啟動　今辦　動土　祈福　典禮,o
推動捷運黃線高市府結合立委出擊,推動　捷運　黃線高　市府　結合　立委　出擊,o
機場捷運16日起開放自由試乘,機場捷運　16　日　起　開放　自由　試　乘,e
機場捷運明起免費搭　活動規則看這裡,機場捷運　明　起　免費　搭　活動　規則　看　這裡,e
【教學片】機捷明起開放大眾試乘　預辦登機同日試辦,【　教學片　】　機捷　明　起　開放　大眾　試　乘　預辦　登機　同　日　試辦,e
試乘機捷讚乘坐品質優異　柯Ｐ：給機捷打99分,試　乘機　捷讚　乘坐　品質　優異　柯　Ｐ　：　給　機捷　打　99　分,o
行政院通過　台南蓋高架單軌捷運,行政院　通過　台南　蓋　高架　單軌　捷運,o
228連假高鐵加開6班尖峰時段列車　周六凌晨開放購票,228　連假　高鐵　加開　6　班　尖峰　時段　列車　周六　凌晨　開放　購票,e
鄭文燦與使節團搭捷運　期讓世界看見台灣,鄭文燦　與　使節團　搭　捷運　期　讓　世界　看見　台灣,o
台灣高鐵經驗海外輸出首次競標失利,台灣高鐵　經驗　海外　輸出　首　次　競標　失利,o
TMF國際音樂節喊卡　高鐵套票329前可退,TMF　國際　音樂節　喊卡　高鐵　套　票　329　前　可　退,e
捷運音效做電音　這一句讓網友笑噴,捷運　音效　做　電音　這　一　句　讓　網友　笑噴,o
女星搭高鐵哺乳引發討論　高鐵公司這麼說,女星　搭　高鐵　哺乳　引發　討論　高鐵　公司　這麼　說,o
疏運228連假人潮　西部地區高鐵班次增13%,疏運　228　連假　人潮　西部　地區　高鐵　班次　增　13　%,t
搶桃捷商機　持一卡通聯名卡再回饋5%,搶　桃捷　商機　持　一　卡通　聯名　卡　再　回饋　5%,e
旅客搭高鐵趕飛機　他們都抱怨這件事,旅客　搭　高鐵　趕　飛機　他們　都　抱怨　這　件　事,o
【你爆蘋果報】不只英文官網簡陋　機捷中文官網也被譏是宣傳政績網,【　你　爆　蘋果　報　】　不只　英文　官網　簡陋　機捷　中文　官網　也　被　譏　是　宣傳　政績網,o
北捷旅客去年日增逾5萬人次　去年高齡補助超過2億元,北捷　旅客　去年日　增逾　5萬　人次　去年　高齡　補助　超過　2億　元,t
桃園國民黨團書記長呼籲　確保安全無虞機捷才能通車,桃園　國民黨團　書記長　呼籲　確保　安全　無虞　機捷　才　能　通車,o
疏運228連假人潮　高鐵今明再加開4列車,疏運　228　連假　人潮　高鐵　今明　再　加開　4　列車,t
北捷發明魯夫鬃毛刷獲獎　能伸縮自如對付髒管道,北捷　發明　魯夫　鬃毛　刷　獲獎　能　伸縮　自如　對付　髒　管道,o
要女站長輪夜班導致被打傷？　北捷：員工誤解,要　女　站長　輪　夜班　導致　被　打傷　？　北捷　：　員工　誤解,o
連假收假高鐵下午晚間加開列車,連假　收假　高鐵　下午　晚間　加開　列車,t
視察機捷鄭文燦：試營運展現交通效益,視察　機捷　鄭文燦　：　試營運　展現　交通　效益,o
228連假收假日　台灣高鐵今加開2班列車疏運,228　連假　收假日　台灣高鐵　今　加開　2　班　列車　疏運,t
【半價片】機捷明天正式通車　第1個月票價5折,【　半價片　】　機捷　明天　正式　通車　第1　個　月　票價　5　折,e
【獨家】高鐵大力女攻擊列車長　3名男乘客也拉不住,【　獨家　】　高鐵　大力　女　攻擊　列車長　3　名　男　乘客　也　拉　不　住,o
【有理嗎？】他抱怨高鐵同酬不同工　網友酸「不爽別做」,【　有理　嗎　？　】　他　抱怨　高鐵　同酬　不同工　網友　酸　「　不　爽　別　做　」,o
機場捷運正式通車首月票價5折,機場捷運　正式　通車　首　月　票價　5　折,e
清明高鐵加班車4日凌晨開賣,清明　高鐵　加班車　4日　凌晨　開賣,e
中捷施工出包暫停日間吊掛作業,中捷　施工　出包　暫停　日間　吊掛　作業,o
手機太老舊的人　本月起無法用高鐵App了,手機　太　老舊　的　人本　月　起　無法　用　高鐵　App　了,o
【通樂片】機捷正式營運　學生、出國民眾：很方便,【　通樂片　】　機捷　正式　營運　學生　、　出國　民眾　：　很　方便,o
台中捷運工程又出包　鐵條「從天而降」砸車,台中　捷運　工程　又　出　包　鐵條　「　從天而降　」　砸　車,o
清明連假疏運期間　高鐵加開994列車,清明　連假　疏運　期間　高鐵　加開　994　列車,t
機場捷運正式營運　警方引導老榮民初體驗,機場捷運　正式　營運　警方　引導　老　榮民　初　體驗,o
機場捷運正式通車　柯Ｐ還是給99分,機場捷運　正式　通車　柯　Ｐ　還是　給　99　分,o
機場捷運虧到不省人事？　柯Ｐ：有機場不用怕,機場捷運　虧　到　不省人事　？　柯　Ｐ　：　有機場　不用　怕,o
台中捷運施工又出包　吊掛鋁條墜落砸車,台中　捷運　施工　又　出　包　吊掛　鋁條　墜落　砸　車,o
缺席機捷通車惹議　朱立倫：市府活動多,缺席　機捷　通車　惹　議　朱立倫　：　市府　活動　多,o
鄭文燦：另建三條捷運連結　打造北北桃軌道生活圈,鄭文燦　：　另　建　三　條　捷運　連結　打造　北北桃　軌道　生活圈,o
機捷營運首月票價5折　這樣搭機捷居然免費,機捷　營運　首月　票價　5　折　這樣　搭　機捷　居然　免費,e
雲林站通車1年多屋頂玻璃有裂痕　高鐵：安全無虞,雲林　站　通車　1　年　多　屋頂　玻璃　有　裂痕　高鐵　：　安全　無虞,o
捷運東區地下街漲租金 　店家抱怨搶錢,捷運　東區　地下街　漲　租金　店家　抱怨　搶　錢,o
台北捷運公司招募新血　最高月薪54Ｋ,台北　捷運　公司　招募　新血　最　高　月薪　54　Ｋ,o
機捷再推優惠票價專案　定期票最低五折,機捷　再　推　優惠　票價　專案　定期票　最　低　五　折,e
北捷月台門10年蓋不完？　議員要柯Ｐ出二備金解決,北捷　月台門　10年　蓋　不　完　？　議員　要　柯　Ｐ　出二備金　解決,o
清明連假熱門班次較客滿　高鐵再加開9列車,清明　連假　熱門　班次　較　客滿　高鐵　再　加開　9　列車,t
桃園捷運啟用跨年晚會　市長期許讓市民更幸福,桃園　捷運　啟用　跨年　晚會　市長　期許　讓　市民　更　幸福,e
台灣高鐵10週年慶　林全為探索館揭幕,台灣高鐵　10週年　慶　林　全　為　探索館　揭幕,o
機場捷運全載試乘　啟動和停靠會晃動,機場捷運　全　載　試　乘　啟動　和　停靠　會　晃動,s
台灣高鐵通車十周年　林全為高鐵探索館揭幕,台灣高鐵　通車　十　周年　林　全　為　高鐵　探索館　揭幕,o
機場捷運春節前試營運？交長：主觀上不期待,機場捷運　春節　前　試營運　？　交長　：　主觀　上　不　期待,o
機場捷運影像即時回傳　強化反恐防暴機制,機場捷運　影像　即時　回傳　強化　反恐　防　暴　機制,s
高鐵捐血傳愛董事長帶頭作公益,高鐵　捐血傳　愛　董事長　帶頭　作　公益,o
高鐵南延屏東　「難道要再多一個蚊子車站嗎」,高鐵　南延　屏東　「　難道　要　再　多　一　個　蚊子　車站　嗎　」,o
三鐵到機捷誰最快？《蘋果》實測４路徑,三鐵　到　機捷　誰　最　快　？　《　蘋果　》　實測４　路徑,o
北車和機捷間電動步道年底才完工　機捷改用高爾夫球車載客,北車　和　機捷　間　電動　步道　年底　才　完工　機捷　改用　高爾夫球車　載客,s
捷運座椅為何向內凹？　看完你就懂了,捷運　座椅　為何　向　內　凹　？　看完　你　就　懂　了,o
北捷一日票券被嫌醜　原因是這個,北捷　一　日　票券　被　嫌醜　原因　是　這　個,o
手扶梯兩邊都可站立？　北捷：僅忠孝復興站而已啦,手　扶梯　兩　邊　都　可　站立　？　北捷　：　僅　忠孝　復興　站　而已　啦,s
機場捷運營運前缺失完成改善　交部最快下周發營運許可,機場捷運　營運　前　缺失　完成　改善　交　部　最　快　下　周　發　營運　許可,o
【魔音動畫】哪一國的隔音牆？　機捷噪音穿腦引爆民怨,【　魔音　動畫　】　哪　一　國　的　隔音　牆　？　機捷　噪音　穿　腦　引爆　民怨,s
因應機捷通車　北捷列車顯示器更新,因　應機　捷　通車　北捷　列車　顯示器　更新,s
機捷噪音擾民　桃捷公司：配合協助處理,機捷　噪音　擾民　桃捷　公司　：　配合　協助　處理,s
因應機捷通車　北捷提早換列車顯示器內容,因　應機　捷　通車　北捷　提早　換　列車　顯示器　內容,s
網友臉書發起捷運左右站滿活動　逾千人有興趣,網友　臉書　發起　捷運　左右　站滿　活動　逾　千　人　有　興趣,e
明將出現首波春節返鄉人潮　高鐵要旅客這麼做,明　將　出現　首　波　春節　返鄉　人潮　高鐵　要　旅客　這麼　做,o
高鐵局證實　機場捷運2月2日試營運,高鐵局　證實　機場捷運　2月　2日　試營運,o
【好康片】機捷試營運免費　團體限6站、個人全線進出,【　好康片　】　機捷　試營運　免費　團體　限　6　站　、　個　人　全線　進出,e
賀陳旦親頒營運許可證　期勉機捷高品質服務,賀陳旦　親　頒　營運　許可證　期勉　機捷　高品質　服務,o
機場捷運通車在即　通緝犯圍捕演練好逼真,機場捷運　通車　在即　通緝犯　圍捕　演練　好　逼真,o
吳宗憲批台灣高鐵沒Wi-Fi　高鐵：8月可完成,吳宗憲批　台灣高鐵　沒　Wi-Fi　高鐵　：　8月　可　完成,o
除夕返鄉 高鐵台中站人多,除夕　返鄉　高鐵　台中站　人　多,o
運量漫出來　高捷閘門「嗶到嗓聲」,運量　漫　出來　高捷　閘門　「　嗶　到　嗓聲　」,o
收假前最後一天　高鐵台中站下午湧人潮,收假　前　最後　一　天　高鐵　台中站　下午　湧　人潮,t
【嚐鮮片】機場捷運車頭影片　帶你欣賞沿線風光,【　嚐鮮片　】　機場捷運　車頭　影片　帶　你　欣賞　沿線　風光,o
桃捷企業識別隱含3T意象運輸科技信賴,桃捷　企業　識別　隱含　3　T　意象　運輸　科技　信賴,o
機場捷運2/16-3/1民眾自由試乘,機場捷運　2　/　16　-　3　/　1　民眾　自由　試　乘,e
因應台北燈節　捷運西門站視人潮啟動管制,因應　台北　燈節　捷運　西門　站　視　人潮　啟動　管制,t
台中捷運綠線　首列電聯車今曝光,台中　捷運　綠線　首　列　電聯車　今　曝光,o
台北燈節很熱鬧　捷運西門站今午增加1.8萬人次,台北　燈節　很　熱鬧　捷運　西門　站今午　增加　1.8　萬　人次,t
【解答片】高鐵大小眼　只有大學生享優惠？,【　解答片　】　高鐵　大小　眼　只　有　大學生　享　優惠　？,e
捷運萬大線施工　北市府將拆40年陸橋,捷運　萬大　線　施工　北市府　將　拆　40　年　陸橋,o
【好康片】機捷人潮就是錢潮　飯店推優惠房價、餐廳送紅酒吸客,【　好康片　】　機捷　人潮　就　是　錢潮　飯店　推　優惠　房價　、　餐廳　送　紅酒　吸客,e
中捷電聯車市區遊行上千民眾爭相拍照[影],中捷　電聯車　市區　遊行　上千　民眾　爭相　拍照　[　影　],o
燈會熱潮高鐵雲林站單日破3.3萬人,燈會　熱潮　高鐵　雲林站　單日　破　3.3　萬　人,t
高捷要鋪纜提升隧道通訊頻寬,高捷　要　鋪纜　提升　隧道　通訊　頻寬,s
高鐵228假期增6班尖峰加班車18日開訂,高鐵　228　假期　增　6　班　尖峰　加班車　18日　開訂,t
因應機捷通車　北市消保官稽查台北地下街店家,因　應機　捷　通車　北市　消保官　稽查　台北　地下街　店家,o
機捷自由試乘　民眾：來看99分的捷運,機捷　自由　試　乘　民眾　：　來　看　99　分　的　捷運,o
【逛街片】機捷營運引人潮　三井OUTLET：相信會有所助益,【　逛街片　】　機捷　營運　引　人潮　三井　OUTLET　：　相信　會　有所　助益,o
【你爆蘋果報】機捷英文網站錯誤百出　官方這樣解釋,【　你　爆　蘋果　報　】　機捷　英文　網站　錯誤　百出　官方　這樣　解釋,o
【突破盲點】捷運文化悄悄改變　手扶梯靠右站已被挑戰,【　突破　盲點　】　捷運　文化　悄悄　改變　手　扶梯　靠　右　站　已　被　挑戰,o
機場捷運明天正式營運　逾130萬人次試乘,機場捷運　明天　正式　營運　逾　130萬　人次　試　乘,t
配合機捷正式營運　主題樂園半價搶客,配合　機捷　正式　營運　主題樂園　半價　搶　客,e
機場捷運2日通車早上6時首班車,機場捷運　2　日　通車　早上　6時　首　班車,t
曼谷機場捷運便利深受旅客喜愛,曼谷　機場捷運　便利　深受　旅客　喜愛,o
付錢了！人少了！機捷首日上班族搭乘少,付錢　了　！　人　少　了　！　機捷　首日　上班族　搭乘　少,o
機場捷運正式營運　部分車站難遮風避雨,機場捷運　正式　營運　部分　車站　難　遮風　避雨,o
鄭文燦要讓機捷未來　更舒適、安全、整點,鄭文燦　要　讓　機捷　未來　更　舒適　、　安全　、　整　點,o
查票易困擾旅客　機捷：直達與普通車單一票價,查票易　困擾　旅客　機捷　：　直達　與　普通車　單一　票價,e
中捷電聯車廂曝光　粉色座位好春天,中捷　電聯車　廂　曝光　粉色　座位　好　春天,s
快取寶驚傳財務危機　營運長、北捷均不知情,快取　寶　驚傳　財務危機　營運　長　、　北捷　均　不　知情,o
清明假期高鐵加開班車18日零時預購,清明　假期　高鐵　加開　班車　18日　零時　預購,t
龜山住戶抗議票價桃捷：穩定後調整,龜山　住戶　抗議　票價　桃捷　：　穩定　後　調整,e
副總統：生醫產業沿高鐵廊帶發展,副總統　：　生醫　產業　沿　高鐵　廊帶　發展,o
出國買高鐵聯票　下月起要漲價了,出國　買　高鐵　聯票　下　月　起　要　漲價　了,e
葉毓蘭嫌機捷太慢　林口長庚到桃園高鐵站花38分鐘,葉毓蘭嫌機捷　太　慢　林口　長庚　到　桃園　高鐵　站花　38　分鐘,t
柯Ｐ凌晨坐小黃去機捷　被發現在紅線搭車,柯　Ｐ　凌晨　坐　小黃　去　機捷　被　發現　在　紅線搭　車,o
高鐵3獨立董事名單是酬庸？交長：各有專長,高鐵　3　獨立董事　名單　是　酬庸　？　交長　：　各　有　專長,o
【搶好康】一卡通下月起嗶進高鐵　搭自由座再降2%,【　搶　好康　】　一　卡通　下　月　起　嗶　進　高鐵　搭　自由座　再　降2　%,e
一卡通高鐵合作恐衝擊悠遊卡　柯P：互相競爭並非壞事,一　卡通　高鐵　合作　恐　衝擊　悠遊　卡柯　P　：　互相　競爭　並非　壞事,e
高鐵增清晨北上列車中南部出國更方便,高鐵　增　清晨　北上　列車　中南部　出國　更　方便,t
【投訴有片】「實在真落漆」　機捷才剛通車資訊看板就故障,【　投訴　有片　】　「　實在　真　落漆　」　機捷　才　剛　通車　資訊　看板　就　故障,s
4月起一卡通也可以坐高鐵　不用再排隊買票,4月　起　一　卡通　也　可以　坐　高鐵　不用　再　排隊　買　票,e
高鐵優惠縮水　離峰9.6折班次將少2成,高鐵　優惠　縮水　離峰　9.6　折　班次　將　少　2成,e
空著的高鐵靠窗座位！潮嬤的這一天逼哭網友,空　著　的　高鐵　靠　窗　座位　！　潮嬤　的　這　一　天　逼哭　網友,o
【有片】機捷滿月恢復原價　民眾嫌貴將少搭,【　有片　】　機捷　滿月　恢復　原價　民眾　嫌　貴　將　少　搭,e
機場捷運營運滿月　今天起正常收費,機場捷運　營運　滿月　今天　起　正常　收費,e
【漲價片】高鐵基本費率調高核定了　北高來回恐漲160元,【　漲價片　】　高鐵　基本　費率　調高　核定　了　北高　來回　恐漲　160　元,e
高鐵票價恐漲逾5%　交通部表態反對,高鐵　票價　恐　漲　逾　5%　交通部　表態　反對,e
要跟緊喔！帶亡夫遺照搭高鐵　過程好催淚,要　跟緊　喔　！　帶　亡夫　遺照　搭　高鐵　過程　好　催淚,o
【將心比心】高鐵美女列車長真情告白　全車廂乘客一秒閉嘴,【　將　心　比　心　】　高鐵　美女　列車長　真情　告白　全　車廂　乘客　一　秒　閉嘴,o
高鐵疑有人闖入鐵軌　6班次誤點,高鐵　疑　有　人　闖入　鐵軌　6　班次　誤點,t
【更新】Youbike轉搭公車、捷運　北市擬推前30分鐘轉乘免費,【　更新　】　Youbike　轉搭　公車　、　捷運　北市　擬　推　前30分鐘　轉乘　免費,e
高鐵雲林累積下陷量92公分趨勢減緩,高鐵　雲林　累積　下陷量　92　公分　趨勢　減緩,o
捷運超音波探傷車曝光鋼軌全面性健檢,捷運　超音波　探傷車　曝光　鋼軌　全面性　健檢,s
超音波探傷車進駐　全面檢修機捷軌道,超音波　探傷車　進駐　全面　檢修　機捷　軌道,s
【有片】分析前瞻計畫執行問題　柯Ｐ：捷運是迷思,【　有片　】　分析　前瞻計畫　執行　問題　柯　Ｐ　：　捷運　是　迷思,o
搶機捷商機　金色三麥首推開幕啤酒喝到飽,搶　機捷　商機　金色　三麥　首推　開幕　啤酒　喝到　飽,e
機場捷運墊片仍有損壞　4月底試裝新材質基鈑墊片,機場捷運　墊片　仍　有　損壞　4月　底　試裝　新　材質　基　鈑　墊片,s
在高鐵上班好嗎？　他不推的4大理由「好慘！」,在　高鐵　上班　好　嗎　？　他　不　推　的　4　大　理由　「　好　慘　！　」,o
高鐵離峰9.6折優惠　後天起縮水,高鐵　離峰　9.6　折　優惠　後天　起　縮水,e
等捷運發現粉紅丁字褲　網友羞：該撿起來嗎,等　捷運　發現　粉紅　丁字褲　網友　羞　：　該　撿起來　嗎,o
北捷供電站異常　忠孝新生到南港站一度停擺,北捷　供　電站　異常　忠孝　新生　到　南港　站　一　度　停擺,t
司機員只需關門及處理異常？捷運駕駛工會發怒了,司機員　只　需　關門　及　處理　異常　？　捷運　駕駛　工會　發怒　了,o
月租3萬的捷運聯開宅還當社會住宅？柯Ｐ：頭腦壞掉,月租　3萬　的　捷運　聯開宅　還　當　社會住宅　？　柯　Ｐ　：　頭腦　壞掉,o
台鐵田中連高鐵彰化3公里新支線6年後通,台鐵　田中　連　高鐵　彰化　3　公里　新　支線　6　年　後　通,t
別再說彰化不需要捷運　一個理由讓大家閉嘴,別　再　說　彰化　不　需要　捷運　一　個　理由　讓　大家　閉嘴,o
雙鐵推親子車廂高鐵搭配親子遊,雙鐵推　親子　車廂　高鐵　搭配　親子　遊,e
高鐵第4季前推個人會員積點折票價,高鐵　第4　季　前　推　個　人　會員　積點折　票價,e
端午連假高鐵加班車29日開放訂票,端午　連假　高鐵　加班車　29日　開放　訂　票,e
高鐵端午節搶票早鳥優惠專案看這裏,高鐵　端午節　搶　票　早　鳥　優惠　專案　看　這裏,e
高鐵票價可漲逾5%　高鐵董座：6月送董事會討論,高鐵　票價　可　漲　逾　5%　高鐵　董座　：　6月　送　董事會　討論,e
高鐵平均每班車僅誤點8.7秒　領先全球靠的是...,高鐵　平均　每　班車　僅　誤點　8.7　秒　領先　全球　靠　的　是　...,t
端午連假高鐵車票　午夜12點後開搶,端午　連假　高鐵　車票　午夜　12　點　後　開　搶,e
行銷機捷　贈APCE運輸會議國際人士1日券,行銷　機捷　贈　APCE　運輸　會議　國際　人士　1日券,e
高鐵維修人員想考駕駛　傳出被主管恐嚇,高鐵　維修　人員　想　考　駕駛　傳出　被　主管　恐嚇,o
噁心慎入男子在捷運車廂上狂吐嚇壞眾人,噁心　慎入　男子　在　捷運　車廂　上　狂吐　嚇壞　眾人,o
萬安演習5/11台南左營高鐵接駁停30分,萬安　演習　5　/　11　台南　左營　高鐵　接駁　停　30　分,t
母親節晚上北返高鐵增全車自由座列車,母親節　晚上　北　返　高鐵　增　全　車　自由座　列車,t
母親節假期疏運高鐵加開北返列車,母親節　假期　疏運　高鐵　加開　北　返　列車,t
每人每天花多少時間搭捷運？　答案在這裡,每　人　每　天　花　多少　時間　搭　捷運　？　答案　在　這裡,o
端午連假高鐵加開6列次疏運,端午　連假　高鐵　加開　6　列次　疏運,t
